Event Source;Event Date;Session ID;Event Type;Event Zone;CCR Type;Volume;Result Code;Service Result Code;Latency
321558622176082;2019-06-17T11:47:08.215+03:00;"bk3l65sl6avisk70dt50;1560761153032";DATA;Belgium;I;0;5012;5012;0.5324211
321558622176081;2019-06-17T11:47:22.211+03:00;"bk3l65sl6avisk70dt50;1560761153038";VOICE;Belgium;I;0;5012;5012;1.1988078
321558622176097;2019-06-17T11:47:23.212+03:00;"bk3l65sl6avisk70dt50;1560761153039";DATA;Belgium;I;0;5012;5012;0.7796437
321558622176056;2019-06-17T11:47:25.211+03:00;"bk3l65sl6avisk70dt50;1560761153040";VOICE;Belgium;I;0;5012;5012;0.4796633
321558622176052;2019-06-17T11:47:12.722+03:00;"bk3l65sl6avisk70dt50;1560761153033";VOICE;Belgium;I;0;0;0;15.000019
321558622176016;2019-06-17T11:47:13.224+03:00;"bk3l65sl6avisk70dt50;1560761153034";VOICE;Belgium;I;0;0;0;15.0000364
321558622176094;2019-06-17T11:47:13.727+03:00;"bk3l65sl6avisk70dt50;1560761153036";DATA;Belgium;I;0;0;0;15.0009308
321558622176015;2019-06-17T11:47:13.727+03:00;"bk3l65sl6avisk70dt50;1560761153035";DATA;Belgium;I;0;0;0;15.0009308
321558622176022;2019-06-17T11:47:59.714+03:00;"bk3l65sl6avisk70dt50;1560761153041";DATA;Belgium;I;0;5012;5012;0.7101288
321558622176037;2019-06-17T11:48:03.217+03:00;"bk3l65sl6avisk70dt50;1560761153042";DATA;Belgium;I;0;5012;5012;0.7308504
321558622176019;2019-06-17T11:48:05.22+03:00;"bk3l65sl6avisk70dt50;1560761153043";DATA;Belgium;I;0;5012;5012;0.46782
321558622176016;2019-06-17T11:48:26.712+03:00;"bk3l65sl6avisk70dt50;1560761153044";VOICE;Belgium;I;0;5012;5012;0.7036501
321558622176025;2019-06-17T11:48:44.708+03:00;"bk3l65sl6avisk70dt50;1560761153045";SMS;Belgium;E;1;2001;2001;0.2593314
321558622176061;2019-06-17T11:48:46.212+03:00;"bk3l65sl6avisk70dt50;1560761153046";SMS;Belgium;E;1;2001;2001;0.3345261
321558622176020;2019-06-17T11:48:46.709+03:00;"bk3l65sl6avisk70dt50;1560761153047";SMS;Belgium;E;1;2001;2001;0.3253999
321558622176051;2019-06-17T11:48:51.209+03:00;"bk3l65sl6avisk70dt50;1560761153048";DATA;Belgium;I;0;5012;5012;0.428045
321558622176031;2019-06-17T11:48:53.718+03:00;"bk3l65sl6avisk70dt50;1560761153049";SMS;Belgium;E;1;2001;2001;0.3228204
321558622176019;2019-06-17T11:48:56.708+03:00;"bk3l65sl6avisk70dt50;1560761153050";DATA;Belgium;I;0;5012;5012;0.706373
321558622176069;2019-06-17T11:49:05.211+03:00;"bk3l65sl6avisk70dt50;1560761153051";SMS;Belgium;E;1;2001;2001;0.26281
321558622176098;2019-06-17T11:49:11.215+03:00;"bk3l65sl6avisk70dt50;1560761153052";DATA;Belgium;I;0;5012;5012;6.0777596
321558622176075;2019-06-17T11:49:26.217+03:00;"bk3l65sl6avisk70dt50;1560761153055";DATA;Belgium;I;0;5012;5012;1.7885541
321558622176088;2019-06-17T11:49:28.708+03:00;"bk3l65sl6avisk70dt50;1560761153056";DATA;Belgium;I;0;5012;5012;0.3787413
321558622176029;2019-06-17T11:49:14.725+03:00;"bk3l65sl6avisk70dt50;1560761153053";DATA;Belgium;I;0;0;0;15.0001525
321558622176092;2019-06-17T11:49:15.708+03:00;"bk3l65sl6avisk70dt50;1560761153054";DATA;Belgium;I;0;0;0;15.0041985
321558622176009;2019-06-17T11:49:32.217+03:00;"bk3l65sl6avisk70dt50;1560761153057";DATA;Belgium;I;0;5012;5012;0.8639345
321558622176086;2019-06-17T11:49:32.718+03:00;"bk3l65sl6avisk70dt50;1560761153058";SMS;Belgium;E;1;2001;2001;0.596069
321558622176093;2019-06-17T11:50:36.222+03:00;"bk3l65sl6avisk70dt50;1560761153059";SMS;Belgium;E;1;2001;2001;0.3485758
321558622176049;2019-06-17T11:50:40.213+03:00;"bk3l65sl6avisk70dt50;1560761153061";SMS;Belgium;E;1;2001;2001;0.2465054
321558622176008;2019-06-17T11:50:40.213+03:00;"bk3l65sl6avisk70dt50;1560761153060";SMS;Belgium;E;1;2001;2001;0.435509
321558622176091;2019-06-17T11:50:41.718+03:00;"bk3l65sl6avisk70dt50;1560761153062";SMS;Belgium;E;1;2001;2001;0.2911358
321558622176016;2019-06-17T11:50:58.72+03:00;"bk3l65sl6avisk70dt50;1560761153063";SMS;Belgium;E;1;2001;2001;0.2968743
321558622176011;2019-06-17T11:51:00.724+03:00;"bk3l65sl6avisk70dt50;1560761153064";SMS;Belgium;E;1;2001;2001;0.3061693
321558622176049;2019-06-17T11:51:01.206+03:00;"bk3l65sl6avisk70dt50;1560761153065";SMS;Belgium;E;1;2001;2001;0.3875617
321558622176004;2019-06-17T11:51:02.206+03:00;"bk3l65sl6avisk70dt50;1560761153066";SMS;Belgium;E;1;2001;2001;0.2785576
321558622176027;2019-06-17T11:51:22.706+03:00;"bk3l65sl6avisk70dt50;1560761153070";VOICE;Belgium;I;0;5012;5012;0.4632906
321558622176001;2019-06-17T11:51:17.707+03:00;"bk3l65sl6avisk70dt50;1560761153067";DATA;Belgium;I;0;0;0;15.0011237
321558622176022;2019-06-17T11:51:39.709+03:00;"bk3l65sl6avisk70dt50;1560761153071";DATA;Belgium;I;0;5012;5012;0.6111896
321558622176056;2019-06-17T11:51:56.211+03:00;"bk3l65sl6avisk70dt50;1560761153072";DATA;Belgium;I;0;5012;5012;0.555201
321558622176005;2019-06-17T11:52:02.208+03:00;"bk3l65sl6avisk70dt50;1560761153073";DATA;Belgium;I;0;5012;5012;0.5562668
321558622176065;2019-06-17T11:52:04.204+03:00;"bk3l65sl6avisk70dt50;1560761153074";SMS;Belgium;E;1;2001;2001;0.3347663
321558622176075;2019-06-17T11:52:12.215+03:00;"bk3l65sl6avisk70dt50;1560761153075";VOICE;Belgium;I;0;5012;5012;0.4951835
321558622176059;2019-06-17T11:52:12.705+03:00;"bk3l65sl6avisk70dt50;1560761153076";SMS;Belgium;E;1;2001;2001;0.3401421
321558622176045;2019-06-17T11:52:16.208+03:00;"bk3l65sl6avisk70dt50;1560761153077";SMS;Belgium;E;1;2001;2001;0.4571816
321558622176079;2019-06-17T11:52:21.215+03:00;"bk3l65sl6avisk70dt50;1560761153078";VOICE;Belgium;I;0;5012;5012;0.5008024
321558622176063;2019-06-17T11:52:46.205+03:00;"bk3l65sl6avisk70dt50;1560761153080";DATA;Belgium;I;0;5012;5012;0.4698177
321558622176074;2019-06-17T11:52:46.205+03:00;"bk3l65sl6avisk70dt50;1560761153079";DATA;Belgium;I;0;5012;5012;0.6584125
321558622176011;2019-06-17T11:52:47.707+03:00;"bk3l65sl6avisk70dt50;1560761153081";DATA;Belgium;I;0;5012;5012;0.5370502
321558622176095;2019-06-17T11:52:48.714+03:00;"bk3l65sl6avisk70dt50;1560761153082";DATA;Belgium;I;0;5012;5012;0.4460135
321558622176003;2019-06-17T11:52:52.208+03:00;"bk3l65sl6avisk70dt50;1560761153083";DATA;Belgium;I;0;5012;5012;0.5612366
321558622176014;2019-06-17T11:53:03.203+03:00;"bk3l65sl6avisk70dt50;1560761153084";DATA;Belgium;I;0;5012;5012;0.5086871
321558622176012;2019-06-17T11:53:04.203+03:00;"bk3l65sl6avisk70dt50;1560761153085";DATA;Belgium;I;0;5012;5012;0.4255199
321558622176058;2019-06-17T11:53:06.704+03:00;"bk3l65sl6avisk70dt50;1560761153086";VOICE;Belgium;I;0;5012;5012;0.639232
321558622176006;2019-06-17T11:53:11.208+03:00;"bk3l65sl6avisk70dt50;1560761153087";VOICE;Belgium;I;0;5012;5012;0.3633597
321558622176098;2019-06-17T11:53:30.703+03:00;"bk3l65sl6avisk70dt50;1560761153094";DATA;Belgium;I;0;5012;5012;0.4044252
321558622176100;2019-06-17T11:53:16.204+03:00;"bk3l65sl6avisk70dt50;1560761153088";SMS;Belgium;E;1;0;0;15.0030641
321558622176094;2019-06-17T11:53:31.707+03:00;"bk3l65sl6avisk70dt50;1560761153095";DATA;Belgium;I;0;5012;5012;0.4900116
321558622176074;2019-06-17T11:53:17.206+03:00;"bk3l65sl6avisk70dt50;1560761153089";SMS;Belgium;E;1;0;0;15.0014813
321558622176025;2019-06-17T11:53:37.71+03:00;"bk3l65sl6avisk70dt50;1560761153096";DATA;Belgium;I;0;5012;5012;3.6103225
321558622176097;2019-06-17T11:53:42.704+03:00;"bk3l65sl6avisk70dt50;1560761153097";DATA;Belgium;I;0;5012;5012;0.4402448
321558622176033;2019-06-17T11:53:53.217+03:00;"bk3l65sl6avisk70dt50;1560761153098";VOICE;Belgium;I;0;5012;5012;0.4512685
321558622176035;2019-06-17T11:53:53.703+03:00;"bk3l65sl6avisk70dt50;1560761153099";VOICE;Belgium;I;0;5012;5012;0.6239952
321558622176061;2019-06-17T11:54:08.203+03:00;"bk3l65sl6avisk70dt50;1560761153100";DATA;Belgium;I;0;5012;5012;0.3135402
321558622176059;2019-06-17T11:54:09.204+03:00;"bk3l65sl6avisk70dt50;1560761153101";DATA;Belgium;I;0;5012;5012;0.3230886
321558622176025;2019-06-17T11:54:32.202+03:00;"bk3l65sl6avisk70dt50;1560761153102";VOICE;Belgium;I;0;5012;5012;0.5917177
321558622176082;2019-06-17T11:54:33.204+03:00;"bk3l65sl6avisk70dt50;1560761153103";VOICE;Belgium;I;0;5012;5012;0.3787878
321558622176076;2019-06-17T11:54:33.705+03:00;"bk3l65sl6avisk70dt50;1560761153104";VOICE;Belgium;I;0;5012;5012;0.4484007
321558622176045;2019-06-17T11:54:42.202+03:00;"bk3l65sl6avisk70dt50;1560761153105";SMS;Belgium;E;1;2001;2001;0.231553
321558622176042;2019-06-17T11:54:42.202+03:00;"bk3l65sl6avisk70dt50;1560761153106";SMS;Belgium;E;1;2001;2001;0.4264811
321558622176007;2019-06-17T11:54:49.709+03:00;"bk3l65sl6avisk70dt50;1560761153107";DATA;Belgium;I;0;5012;5012;0.4993432
321558622176083;2019-06-17T11:54:52.218+03:00;"bk3l65sl6avisk70dt50;1560761153108";DATA;Belgium;I;0;5012;5012;0.3872211
321558622176032;2019-06-17T11:54:54.703+03:00;"bk3l65sl6avisk70dt50;1560761153109";DATA;Belgium;I;0;5012;5012;0.4844944
321558622176024;2019-06-17T11:54:55.202+03:00;"bk3l65sl6avisk70dt50;1560761153110";DATA;Belgium;I;0;5012;5012;0.6441358
321558622176070;2019-06-17T11:55:07.202+03:00;"bk3l65sl6avisk70dt50;1560761153111";VOICE;Belgium;I;0;5012;5012;0.3814727
321558622176099;2019-06-17T11:55:12.702+03:00;"bk3l65sl6avisk70dt50;1560761153112";VOICE;Belgium;I;0;5012;5012;0.3444945
321558622176025;2019-06-17T11:55:13.202+03:00;"bk3l65sl6avisk70dt50;1560761153113";DATA;Belgium;I;0;5012;5012;0.3369696
321558622176097;2019-06-17T11:55:24.701+03:00;"bk3l65sl6avisk70dt50;1560761153117";DATA;Belgium;I;0;5012;5012;0.4938874
321558622176043;2019-06-17T11:55:24.701+03:00;"bk3l65sl6avisk70dt50;1560761153116";DATA;Belgium;I;0;5012;5012;0.7520243
321558622176064;2019-06-17T11:55:25.701+03:00;"bk3l65sl6avisk70dt50;1560761153118";DATA;Belgium;I;0;5012;5012;0.9932685
321558622176066;2019-06-17T11:55:27.704+03:00;"bk3l65sl6avisk70dt50;1560761153119";DATA;Belgium;I;0;5012;5012;0.8527897
321558622176091;2019-06-17T11:55:28.205+03:00;"bk3l65sl6avisk70dt50;1560761153120";DATA;Belgium;I;0;5012;5012;0.6764585
321558622176086;2019-06-17T11:55:19.201+03:00;"bk3l65sl6avisk70dt50;1560761153114";SMS;Belgium;E;1;0;0;15.005506
